timestamp,cattle_id,temperature,heartRate,humidity,distance,hour,day_of_week,is_anomaly,anomaly_type,heart_rate
2024-01-01T00:00:00,COW_001,38.53,49.1,73.9,1.4,0,0,0,normal,
2024-01-01T00:10:00,COW_001,38.68,50.7,75.0,9.9,0,0,0,normal,
2024-01-01T00:20:00,COW_001,38.38,51.8,70.5,2.9,0,0,0,normal,
2024-01-01T00:30:00,COW_001,38.38,39.2,74.8,2.8,0,0,0,normal,
2024-01-01T00:40:00,COW_001,38.3,50.9,69.2,4.9,0,0,0,normal,
2024-01-01T00:50:00,COW_001,38.24,47.1,73.7,5.8,0,0,0,normal,
2024-01-01T01:00:00,COW_001,38.33,48.9,69.3,0.5,1,0,0,normal,
2024-01-01T01:10:00,COW_001,38.47,46.0,75.6,0.8,1,0,0,normal,
2024-01-01T01:20:00,COW_001,38.32,55.8,72.7,0.3,1,0,0,normal,
2024-01-01T01:30:00,COW_001,38.25,47.5,73.9,8.7,1,0,0,normal,
2024-01-01T01:40:00,COW_001,38.44,40.6,68.7,27.9,1,0,0,normal,
2024-01-01T01:50:00,COW_001,38.44,49.3,75.4,20.4,1,0,0,normal,
2024-01-01T02:00:00,COW_001,38.38,46.8,68.6,14.1,2,0,0,normal,
2024-01-01T02:10:00,COW_001,38.29,42.6,70.4,6.3,2,0,0,normal,
2024-01-01T02:20:00,COW_001,38.45,46.5,71.0,0.0,2,0,0,normal,
2024-01-01T02:30:00,COW_001,38.49,50.3,75.7,10.4,2,0,0,normal,
2024-01-01T02:40:00,COW_001,38.27,46.8,74.0,3.2,2,0,0,normal,
2024-01-01T02:50:00,COW_001,38.55,47.3,71.8,3.1,2,0,0,normal,
2024-01-01T03:00:00,COW_001,38.54,53.8,72.5,1.0,3,0,0,normal,
2024-01-01T03:10:00,COW_001,38.56,52.3,75.1,6.6,3,0,0,normal,
2024-01-01T03:20:00,COW_001,38.41,54.7,64.9,0.2,3,0,0,normal,
2024-01-01T03:30:00,COW_001,38.54,42.7,75.9,5.7,3,0,0,normal,
2024-01-01T03:40:00,COW_001,38.38,49.8,77.2,2.1,3,0,0,normal,
2024-01-01T03:50:00,COW_001,38.34,47.6,71.4,1.4,3,0,0,normal,
